Date,Open,High,Low,Close,Adj Close,Volume
02-01-2018,177.679993,181.580002,177.550003,181.419998,181.419998,18151900
03-01-2018,181.880005,184.779999,181.330002,184.669998,184.669998,16886600
04-01-2018,184.899994,186.210007,184.100006,184.330002,184.330002,13880900
05-01-2018,185.589996,186.899994,184.929993,186.850006,186.850006,13574500
08-01-2018,187.199997,188.899994,186.330002,188.279999,188.279999,17994700
09-01-2018,188.699997,188.800003,187.100006,187.869995,187.869995,12393100
10-01-2018,186.940002,187.889999,185.630005,187.839996,187.839996,10529900
11-01-2018,188.399994,188.399994,187.380005,187.770004,187.770004,9588600
12-01-2018,178.059998,181.479996,177.399994,179.369995,179.369995,77551300
16-01-2018,181.5,181.75,178.039993,178.389999,178.389999,36183800
17-01-2018,179.259995,179.320007,175.800003,177.600006,177.600006,27992400
18-01-2018,178.130005,180.979996,177.080002,179.800003,179.800003,23304900
19-01-2018,180.850006,182.369995,180.169998,181.289993,181.289993,26826500
22-01-2018,180.800003,185.389999,180.410004,185.369995,185.369995,21059500
23-01-2018,186.050003,189.550003,185.550003,189.350006,189.350006,25678800
24-01-2018,189.889999,190.660004,186.520004,186.550003,186.550003,24334500
25-01-2018,187.949997,188.619995,186.600006,187.479996,187.479996,17377700
26-01-2018,187.75,190,186.809998,190,190,17759200
29-01-2018,188.75,188.839996,185.630005,185.979996,185.979996,20453200
30-01-2018,187.619995,188.179993,181.839996,187.119995,187.119995,20858600
31-01-2018,188.369995,189.830002,185.220001,186.889999,186.889999,43275100
01-02-2018,188.220001,195.320007,187.889999,193.089996,193.089996,54211300
02-02-2018,192.039993,194.210007,189.979996,190.279999,190.279999,26677500
05-02-2018,186.929993,190.610001,180.610001,181.259995,181.259995,33128200
06-02-2018,178.570007,185.770004,177.740005,185.309998,185.309998,37758500
07-02-2018,184.149994,185.080002,179.949997,180.179993,180.179993,27601900
08-02-2018,181.009995,181.839996,171.479996,171.580002,171.580002,38478300
09-02-2018,174.759995,176.899994,167.179993,176.110001,176.110001,39887600
12-02-2018,177.059998,177.550003,171.839996,176.410004,176.410004,32092100
13-02-2018,175.619995,175.970001,173.100006,173.149994,173.149994,21809400
14-02-2018,173.449997,179.809998,173.210007,179.520004,179.520004,28929700
15-02-2018,180.5,180.5,176.839996,179.960007,179.960007,20922100
16-02-2018,178.990005,179.880005,176.300003,177.360001,177.360001,20645300
20-02-2018,175.770004,177.949997,175.110001,176.009995,176.009995,21204900
21-02-2018,176.710007,181.270004,176.399994,177.910004,177.910004,23200800
22-02-2018,178.699997,180.210007,177.410004,178.990005,178.990005,18464200
23-02-2018,179.899994,183.389999,179.509995,183.289993,183.289993,19007300
26-02-2018,184.580002,185.660004,183.220001,184.929993,184.929993,17599700
27-02-2018,184.449997,184.699997,181.460007,181.460007,181.460007,15849800
28-02-2018,182.300003,182.880005,178.139999,178.320007,178.320007,18783000
01-03-2018,179.009995,180.119995,174.410004,175.940002,175.940002,23201600
02-03-2018,173.289993,177.110001,172.990005,176.619995,176.619995,20025900
05-03-2018,176.199997,181.149994,175.889999,180.399994,180.399994,16189300
06-03-2018,181.779999,182.380005,179.110001,179.779999,179.779999,15086800
07-03-2018,178.740005,183.820007,178.070007,183.710007,183.710007,19097300
08-03-2018,183.559998,184.399994,181.449997,182.339996,182.339996,17225900
09-03-2018,183.910004,185.509995,183.210007,185.229996,185.229996,18526300
12-03-2018,185.229996,186.100006,184.220001,184.759995,184.759995,15301200
13-03-2018,185.610001,185.990005,181.110001,181.880005,181.880005,18067500
14-03-2018,182.600006,184.25,181.850006,184.190002,184.190002,16821700
15-03-2018,183.240005,184,182.190002,183.860001,183.860001,15614300
16-03-2018,184.490005,185.330002,183.410004,185.089996,185.089996,24403400
19-03-2018,177.009995,177.169998,170.059998,172.559998,172.559998,88140100
20-03-2018,167.470001,170.199997,161.949997,168.149994,168.149994,129851800
21-03-2018,164.800003,173.399994,163.300003,169.389999,169.389999,106598800
22-03-2018,166.130005,170.270004,163.720001,164.889999,164.889999,73743000
23-03-2018,165.440002,166.600006,159.020004,159.389999,159.389999,53609700
26-03-2018,160.820007,161.100006,149.020004,160.059998,160.059998,126116600
27-03-2018,156.309998,162.850006,150.75,152.220001,152.220001,79117000
28-03-2018,151.649994,155.880005,150.800003,153.029999,153.029999,60029200
29-03-2018,155.149994,161.419998,154.139999,159.789993,159.789993,59434300
02-04-2018,157.809998,159.199997,154.110001,155.389999,155.389999,36796000
03-04-2018,156.550003,157.389999,150.809998,156.110001,156.110001,42543900
04-04-2018,152.029999,155.559998,150.509995,155.100006,155.100006,49885600
05-04-2018,161.559998,161.570007,156.649994,159.339996,159.339996,41449600
06-04-2018,157.729996,161.419998,156.809998,157.199997,157.199997,41644800
09-04-2018,157.820007,160.529999,156.039993,157.929993,157.929993,34915200
10-04-2018,157.929993,165.979996,157.009995,165.039993,165.039993,57889300
11-04-2018,165.360001,168.649994,163.25,166.320007,166.320007,56144600
12-04-2018,166.979996,167.449997,163.100006,163.869995,163.869995,38263000
13-04-2018,164.580002,165.699997,163.770004,164.520004,164.520004,19990600
16-04-2018,165.720001,165.779999,163.389999,164.830002,164.830002,18119400
17-04-2018,165.830002,169,165.660004,168.660004,168.660004,22743000
18-04-2018,166.880005,168.119995,165.770004,166.360001,166.360001,20969600
19-04-2018,166.199997,168.330002,165.199997,168.100006,168.100006,22235000
20-04-2018,167.789993,168.429993,165.809998,166.279999,166.279999,19119400
23-04-2018,167.270004,168.449997,165.089996,165.839996,165.839996,23088100
24-04-2018,165.429993,166.100006,158.190002,159.690002,159.690002,35079900
25-04-2018,160.139999,161.059998,156.190002,159.690002,159.690002,41083600
26-04-2018,173.220001,176.270004,170.800003,174.160004,174.160004,77556900
27-04-2018,176.809998,177.100006,172.600006,173.589996,173.589996,29804700
30-04-2018,173.789993,175.720001,171.710007,172,172,20750500
01-05-2018,172,174.020004,170.229996,173.860001,173.860001,26025900
02-05-2018,174.25,178.080002,174.199997,176.070007,176.070007,30424500
03-05-2018,175.130005,176.119995,172.119995,174.020004,174.020004,24026100
04-05-2018,173.080002,176.979996,173.059998,176.610001,176.610001,17677800
07-05-2018,177.350006,179.5,177.169998,177.970001,177.970001,18697200
08-05-2018,178.25,179.039993,177.110001,178.919998,178.919998,15577200
09-05-2018,179.669998,183.009995,178.779999,182.660004,182.660004,23282800
10-05-2018,183.149994,186.130005,182.5,185.529999,185.529999,21071400
11-05-2018,184.850006,188.320007,184.179993,186.990005,186.990005,21207800
14-05-2018,187.710007,187.860001,186.199997,186.639999,186.639999,15646700
15-05-2018,184.880005,185.289993,183.199997,184.320007,184.320007,15429400
16-05-2018,183.699997,184.320007,182.660004,183.199997,183.199997,16975500
17-05-2018,182.679993,184.059998,182.220001,183.759995,183.759995,14840700
18-05-2018,183.490005,184.190002,182.610001,182.679993,182.679993,13130500
21-05-2018,183.770004,185.300003,183.130005,184.490005,184.490005,13532900
22-05-2018,184.929993,185.419998,183.429993,183.800003,183.800003,12731400
23-05-2018,182.5,186.910004,182.179993,186.899994,186.899994,16628100
24-05-2018,185.880005,186.800003,185.029999,185.929993,185.929993,12354700
25-05-2018,186.020004,186.330002,184.449997,184.919998,184.919998,10965100
29-05-2018,184.339996,186.809998,183.710007,185.740005,185.740005,16398900
30-05-2018,186.539993,188,185.25,187.669998,187.669998,13736900
31-05-2018,187.869995,192.720001,187.479996,191.779999,191.779999,30782600
01-06-2018,193.070007,194.550003,192.070007,193.990005,193.990005,17307200
04-06-2018,191.839996,193.979996,191.470001,193.279999,193.279999,18939800
05-06-2018,194.300003,195,192.619995,192.940002,192.940002,15544300
06-06-2018,191.029999,192.529999,189.110001,191.339996,191.339996,22558900
07-06-2018,190.75,190.970001,186.770004,188.179993,188.179993,21503200
08-06-2018,187.529999,189.479996,186.429993,189.100006,189.100006,12677100
11-06-2018,188.809998,192.600006,188.800003,191.539993,191.539993,12928900
12-06-2018,192.169998,193.279999,191.559998,192.399994,192.399994,11562700
13-06-2018,192.740005,194.5,191.910004,192.410004,192.410004,15853800
14-06-2018,193.100006,197.279999,192.910004,196.809998,196.809998,19120900
15-06-2018,195.789993,197.070007,194.639999,195.850006,195.850006,21860900
18-06-2018,194.800003,199.580002,194.130005,198.309998,198.309998,16826000
19-06-2018,196.240005,197.960007,193.789993,197.490005,197.490005,19994000
20-06-2018,199.100006,203.550003,198.809998,202,202,28230900
21-06-2018,202.759995,203.389999,200.089996,201.5,201.5,19045700
22-06-2018,201.160004,202.240005,199.309998,201.740005,201.740005,17420200
25-06-2018,200,200,193.110001,196.350006,196.350006,25275100
26-06-2018,197.600006,199.100006,196.229996,199,199,17897600
27-06-2018,199.179993,200.75,195.800003,195.839996,195.839996,18734400
28-06-2018,195.179993,197.339996,193.259995,196.229996,196.229996,18172400
29-06-2018,197.320007,197.600006,193.960007,194.320007,194.320007,15811600
02-07-2018,193.369995,197.449997,192.220001,197.360001,197.360001,13961600
03-07-2018,194.550003,195.399994,192.520004,192.729996,192.729996,13489500
05-07-2018,194.740005,198.649994,194.029999,198.449997,198.449997,19684200
06-07-2018,198.449997,203.639999,197.699997,203.229996,203.229996,19740100
09-07-2018,204.929993,205.800003,202.119995,204.740005,204.740005,18149400
10-07-2018,204.5,204.910004,202.259995,203.539993,203.539993,13190100
11-07-2018,202.220001,204.5,201.75,202.539993,202.539993,12927400
12-07-2018,203.429993,207.080002,203.190002,206.919998,206.919998,15454700
13-07-2018,207.809998,208.429993,206.449997,207.320007,207.320007,11486800
16-07-2018,207.5,208.720001,206.839996,207.229996,207.229996,11078200
17-07-2018,204.899994,210.460007,204.839996,209.990005,209.990005,15349900
18-07-2018,209.820007,210.990005,208.440002,209.360001,209.360001,15334900
19-07-2018,208.770004,209.990005,207.759995,208.089996,208.089996,11350400
20-07-2018,208.850006,211.5,208.5,209.940002,209.940002,16163900
